[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ route_check ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run CheckRoute Behavior [ RunTime:0.002163s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.017919s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ app_begin ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000940s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000862s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001889s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 407 行.
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_template ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run LocationTemplate Behavior [ RunTime:0.014236s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.014356s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_parse ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run ParseTemplate Behavior [ RunTime:0.011393s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.011489s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_filter ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run ContentReplace Behavior [ RunTime:0.001054s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run TokenBuild Behavior [ RunTime:0.001034s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000794s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000997s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.004083s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_end ] --START--
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000977s ]
[ 2014-04-22T14:11:19+08:00 ] /zzadmin/admin.php/Index/adminlogin | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.001032s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ route_check ] --START--
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Run CheckRoute Behavior [ RunTime:0.000637s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000727s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ app_begin ] --START--
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000606s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000374s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001109s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 407 行.
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | SQL: SHOW COLUMNS FROM `zz_user` [ RunTime:0.004495s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | SQL: SHOW COLUMNS FROM `zz_stu` [ RunTime:0.004240s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | SQL: SELECT * FROM `zz_user` WHERE username='pan' LIMIT 1   [ RunTime:0.000413s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ view_template ] --START--
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000527s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000611s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ view_parse ] --START--
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000839s ]
[ 2014-04-22T14:11:29+08:00 ] /zzadmin/admin.php/Index/login | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000948s ]
